"Date","Price","Open","High","Low","Vol.","Change %"
"19/06/2023","0.9154","0.9140","0.9168","0.9136","","0.15%"
"18/06/2023","0.9140","0.9123","0.9142","0.9123","","0.01%"
"16/06/2023","0.9140","0.9137","0.9160","0.9115","","0.05%"
"15/06/2023","0.9135","0.9233","0.9257","0.9129","","-1.02%"
"14/06/2023","0.9229","0.9266","0.9282","0.9204","","-0.38%"
"13/06/2023","0.9264","0.9298","0.9298","0.9238","","-0.33%"
"12/06/2023","0.9295","0.9301","0.9317","0.9267","","-0.06%"
"09/06/2023","0.9301","0.9275","0.9309","0.9271","","0.31%"
"08/06/2023","0.9272","0.9347","0.9349","0.9270","","-0.78%"
"07/06/2023","0.9345","0.9352","0.9374","0.9311","","-0.06%"
"06/06/2023","0.9351","0.9334","0.9375","0.9316","","0.20%"
"05/06/2023","0.9332","0.9336","0.9369","0.9326","","-0.05%"
"02/06/2023","0.9337","0.9291","0.9342","0.9277","","0.51%"
"01/06/2023","0.9290","0.9355","0.9380","0.9286","","-0.67%"
"31/05/2023","0.9353","0.9315","0.9403","0.9313","","0.42%"
"30/05/2023","0.9314","0.9340","0.9370","0.9305","","-0.26%"
"29/05/2023","0.9338","0.9323","0.9341","0.9307","","0.16%"
"26/05/2023","0.9323","0.9327","0.9345","0.9294","","-0.03%"
"25/05/2023","0.9326","0.9302","0.9340","0.9296","","0.27%"
"24/05/2023","0.9301","0.9283","0.9305","0.9258","","0.18%"
"23/05/2023","0.9284","0.9249","0.9294","0.9241","","0.41%"
"22/05/2023","0.9246","0.9247","0.9263","0.9232","","-0.09%"
"19/05/2023","0.9254","0.9284","0.9294","0.9234","","-0.30%"
"18/05/2023","0.9282","0.9225","0.9292","0.9218","","0.64%"
"17/05/2023","0.9223","0.9207","0.9251","0.9196","","0.21%"
"16/05/2023","0.9204","0.9197","0.9212","0.9169","","0.10%"
"15/05/2023","0.9195","0.9212","0.9222","0.9182","","-0.22%"
"12/05/2023","0.9215","0.9162","0.9219","0.9143","","0.62%"
"11/05/2023","0.9158","0.9107","0.9175","0.9092","","0.59%"
"10/05/2023","0.9104","0.9123","0.9140","0.9085","","-0.19%"
"09/05/2023","0.9121","0.9086","0.9140","0.9086","","0.41%"
"08/05/2023","0.9084","0.9064","0.9092","0.9046","","0.11%"
"05/05/2023","0.9074","0.9081","0.9118","0.9051","","-0.06%"
"04/05/2023","0.9079","0.9042","0.9103","0.9015","","0.44%"
"03/05/2023","0.9039","0.9092","0.9092","0.9015","","-0.54%"
"02/05/2023","0.9088","0.9114","0.9140","0.9083","","-0.22%"
"01/05/2023","0.9108","0.9061","0.9121","0.9060","","0.41%"
"28/04/2023","0.9071","0.9067","0.9122","0.9054","","0.07%"
"27/04/2023","0.9065","0.9057","0.9097","0.9039","","0.11%"
"26/04/2023","0.9055","0.9114","0.9118","0.9012","","-0.64%"
"25/04/2023","0.9113","0.9053","0.9121","0.9036","","0.65%"
"24/04/2023","0.9054","0.9099","0.9119","0.9049","","-0.48%"
"21/04/2023","0.9098","0.9115","0.9143","0.9096","","-0.19%"
"20/04/2023","0.9115","0.9128","0.9147","0.9099","","-0.13%"
"19/04/2023","0.9127","0.9114","0.9161","0.9104","","0.16%"
"18/04/2023","0.9112","0.9154","0.9157","0.9104","","-0.43%"
"17/04/2023","0.9151","0.9100","0.9167","0.9090","","0.69%"
"14/04/2023","0.9088","0.9056","0.9114","0.9028","","0.38%"
"13/04/2023","0.9054","0.9097","0.9111","0.9035","","-0.47%"
"12/04/2023","0.9097","0.9165","0.9165","0.9090","","-0.71%"
"11/04/2023","0.9162","0.9205","0.9211","0.9151","","-0.48%"
"10/04/2023","0.9206","0.9173","0.9233","0.9159","","0.36%"
"07/04/2023","0.9173","0.9156","0.9194","0.9153","","0.22%"
"06/04/2023","0.9153","0.9170","0.9188","0.9142","","-0.16%"
"05/04/2023","0.9168","0.9130","0.9183","0.9116","","0.43%"
"04/04/2023","0.9129","0.9177","0.9189","0.9112","","-0.51%"
"03/04/2023","0.9176","0.9219","0.9270","0.9160","","-0.51%"
"31/03/2023","0.9223","0.9169","0.9228","0.9152","","0.58%"
"30/03/2023","0.9170","0.9222","0.9240","0.9151","","-0.53%"
"29/03/2023","0.9219","0.9221","0.9245","0.9198","","-0.02%"
"28/03/2023","0.9221","0.9262","0.9264","0.9217","","-0.42%"
"27/03/2023","0.9260","0.9288","0.9307","0.9259","","-0.33%"
"24/03/2023","0.9291","0.9234","0.9334","0.9226","","0.66%"
"23/03/2023","0.9230","0.9212","0.9239","0.9148","","0.23%"
"22/03/2023","0.9209","0.9287","0.9295","0.9163","","-0.80%"
"21/03/2023","0.9283","0.9326","0.9342","0.9269","","-0.46%"
"20/03/2023","0.9326","0.9348","0.9406","0.9319","","-0.49%"
"17/03/2023","0.9372","0.9426","0.9430","0.9358","","-0.57%"
"16/03/2023","0.9426","0.9454","0.9478","0.9402","","-0.29%"
"15/03/2023","0.9453","0.9317","0.9510","0.9294","","1.46%"
"14/03/2023","0.9317","0.9319","0.9365","0.9302","","0.00%"
"13/03/2023","0.9317","0.9392","0.9392","0.9302","","-0.82%"
"10/03/2023","0.9394","0.9450","0.9458","0.9344","","-0.57%"
"09/03/2023","0.9448","0.9483","0.9490","0.9441","","-0.34%"
"08/03/2023","0.9480","0.9480","0.9502","0.9456","","0.02%"
"07/03/2023","0.9478","0.9363","0.9482","0.9350","","1.23%"
"06/03/2023","0.9363","0.9417","0.9421","0.9350","","-0.41%"
"03/03/2023","0.9402","0.9436","0.9445","0.9399","","-0.34%"
"02/03/2023","0.9434","0.9374","0.9456","0.9369","","0.67%"
"01/03/2023","0.9371","0.9456","0.9465","0.9352","","-0.86%"
"28/02/2023","0.9452","0.9430","0.9457","0.9393","","0.30%"
"27/02/2023","0.9424","0.9487","0.9495","0.9416","","-0.58%"
"24/02/2023","0.9479","0.9437","0.9492","0.9420","","0.46%"
"23/02/2023","0.9436","0.9431","0.9455","0.9409","","0.06%"
"22/02/2023","0.9430","0.9393","0.9435","0.9377","","0.43%"
"21/02/2023","0.9390","0.9358","0.9401","0.9347","","0.34%"
"20/02/2023","0.9358","0.9356","0.9372","0.9341","","0.09%"
"17/02/2023","0.9350","0.9369","0.9423","0.9347","","-0.21%"
"16/02/2023","0.9370","0.9355","0.9386","0.9326","","0.17%"
"15/02/2023","0.9354","0.9313","0.9381","0.9306","","0.45%"
"14/02/2023","0.9312","0.9327","0.9340","0.9255","","-0.15%"
"13/02/2023","0.9326","0.9364","0.9385","0.9319","","-0.38%"
"10/02/2023","0.9362","0.9312","0.9376","0.9299","","0.55%"
"09/02/2023","0.9311","0.9336","0.9338","0.9265","","-0.25%"
"08/02/2023","0.9334","0.9323","0.9338","0.9293","","0.14%"
"07/02/2023","0.9321","0.9322","0.9374","0.9287","","0.05%"
"06/02/2023","0.9316","0.9268","0.9338","0.9259","","0.58%"
"03/02/2023","0.9262","0.9166","0.9266","0.9140","","1.08%"
"02/02/2023","0.9163","0.9100","0.9187","0.9063","","0.71%"
"01/02/2023","0.9098","0.9204","0.9215","0.9089","","-1.16%"
"31/01/2023","0.9205","0.9216","0.9258","0.9195","","-0.14%"
"30/01/2023","0.9218","0.9196","0.9226","0.9162","","0.21%"
"27/01/2023","0.9199","0.9181","0.9228","0.9173","","0.21%"
"26/01/2023","0.9180","0.9160","0.9217","0.9149","","0.24%"
"25/01/2023","0.9158","0.9186","0.9212","0.9154","73.25K","-0.34%"
"24/01/2023","0.9189","0.9198","0.9230","0.9176","69.93K","-0.10%"
"23/01/2023","0.9198","0.9208","0.9220","0.9151","72.09K","-0.13%"
"20/01/2023","0.9210","0.9231","0.9258","0.9208","77.66K","-0.25%"
"19/01/2023","0.9233","0.9268","0.9275","0.9225","103.05K","-0.32%"
"18/01/2023","0.9263","0.9268","0.9289","0.9184","110.02K","-0.06%"
"17/01/2023","0.9269","0.9240","0.9281","0.9200","109.13K","0.29%"
"16/01/2023","0.9242","0.9230","0.9258","0.9196","66.66K","0.11%"
"13/01/2023","0.9232","0.9219","0.9277","0.9201","98.07K","0.18%"
"12/01/2023","0.9215","0.9297","0.9319","0.9201","95.62K","-0.86%"
"11/01/2023","0.9295","0.9315","0.9324","0.9279","87.80K","-0.19%"
"10/01/2023","0.9313","0.9324","0.9336","0.9294","94.33K","-0.05%"
"09/01/2023","0.9318","0.9401","0.9402","0.9293","87.39K","-0.79%"
"06/01/2023","0.9392","0.9504","0.9539","0.9391","94.85K","-1.16%"
"05/01/2023","0.9502","0.9431","0.9510","0.9405","81.26K","0.75%"
"04/01/2023","0.9431","0.9481","0.9488","0.9402","90.18K","-0.46%"
"03/01/2023","0.9475","0.9377","0.9507","0.9359","94.73K","1.06%"
"02/01/2023","0.9376","0.9344","0.9390","0.9339","21.16K","0.37%"
"30/12/2022","0.9341","0.9378","0.9399","0.9334","71.53K","-0.41%"
"29/12/2022","0.9379","0.9425","0.9426","0.9354","59.74K","-0.46%"
"28/12/2022","0.9422","0.9396","0.9428","0.9368","56.01K","0.27%"
"27/12/2022","0.9397","0.9401","0.9424","0.9372","68.37K","-0.02%"
"26/12/2022","0.9399","0.9424","0.9431","0.9400","17.50K","-0.20%"
"23/12/2022","0.9418","0.9438","0.9446","0.9405","94.32K","-0.20%"
"22/12/2022","0.9437","0.9428","0.9459","0.9381","97.30K","0.10%"
"21/12/2022","0.9428","0.9412","0.9445","0.9392","86.75K","0.16%"
"20/12/2022","0.9413","0.9429","0.9453","0.9381","130.49K","-0.14%"
"19/12/2022","0.9426","0.9442","0.9456","0.9383","91.77K","-0.21%"
"16/12/2022","0.9446","0.9411","0.9448","0.9377","96.98K","0.41%"
"15/12/2022","0.9407","0.9360","0.9441","0.9314","96.29K","0.49%"
"14/12/2022","0.9361","0.9405","0.9417","0.9349","93.43K","-0.46%"
"13/12/2022","0.9404","0.9493","0.9499","0.9369","76.63K","-0.90%"
"12/12/2022","0.9489","0.9499","0.9518","0.9452","72.91K","-0.04%"
"09/12/2022","0.9493","0.9470","0.9518","0.9444","81.68K","0.23%"
"08/12/2022","0.9471","0.9517","0.9534","0.9464","89.81K","-0.48%"
"07/12/2022","0.9517","0.9552","0.9577","0.9478","102.18K","-0.35%"
"06/12/2022","0.9550","0.9534","0.9561","0.9493","83.94K","0.21%"
"05/12/2022","0.9530","0.9509","0.9542","0.9438","91.07K","0.46%"
"02/12/2022","0.9486","0.9503","0.9590","0.9482","82.22K","-0.15%"
"01/12/2022","0.9500","0.9609","0.9622","0.9492","108.31K","-1.11%"
"30/11/2022","0.9607","0.9682","0.9718","0.9589","92.19K","-0.75%"
"29/11/2022","0.9680","0.9671","0.9690","0.9620","75.18K","0.10%"
"28/11/2022","0.9670","0.9632","0.9681","0.9526","78.44K","0.56%"
"25/11/2022","0.9616","0.9607","0.9657","0.9588","70.18K","0.10%"
"24/11/2022","0.9606","0.9617","0.9632","0.9570","68.51K","-0.11%"
"23/11/2022","0.9617","0.9704","0.9712","0.9610","74.47K","-0.89%"
"22/11/2022","0.9703","0.9763","0.9766","0.9700","79.18K","-0.59%"
"21/11/2022","0.9761","0.9692","0.9783","0.9677","82.17K","0.78%"
"18/11/2022","0.9685","0.9651","0.9697","0.9618","95.10K","0.37%"
"17/11/2022","0.9649","0.9620","0.9704","0.9609","98.79K","0.31%"
"16/11/2022","0.9619","0.9668","0.9680","0.9579","103.83K","-0.43%"
"15/11/2022","0.9661","0.9685","0.9729","0.9541","104.61K","-0.21%"
"14/11/2022","0.9681","0.9646","0.9736","0.9645","103.36K","0.26%"
"11/11/2022","0.9656","0.9795","0.9840","0.9648","114.00K","-1.41%"
"10/11/2022","0.9794","0.9987","1.0065","0.9783","128.78K","-1.90%"
"09/11/2022","0.9984","0.9927","1.0007","0.9912","117.09K","0.59%"
"08/11/2022","0.9925","0.9979","1.0028","0.9904","100.70K","-0.52%"
"07/11/2022","0.9977","1.0091","1.0102","0.9965","94.50K","-0.59%"
"04/11/2022","1.0036","1.0256","1.0265","1.0033","86.22K","-2.10%"
"03/11/2022","1.0251","1.0184","1.0278","1.0163","76.01K","0.68%"
"02/11/2022","1.0182","1.0127","1.0192","1.0023","77.34K","0.54%"
"01/11/2022","1.0127","1.0120","1.0150","1.0045","71.01K","0.13%"
"31/10/2022","1.0114","1.0053","1.0130","1.0034","75.23K","0.81%"
"28/10/2022","1.0033","1.0036","1.0075","1.0001","76.68K","-0.01%"
"27/10/2022","1.0034","0.9922","1.0043","0.9906","110.90K","1.15%"
"26/10/2022","0.9920","1.0034","1.0057","0.9912","84.29K","-1.12%"
"25/10/2022","1.0032","1.0128","1.0154","1.0022","74.00K","-0.93%"
"24/10/2022","1.0126","1.0135","1.0197","1.0101","91.25K","-0.12%"
"21/10/2022","1.0138","1.0220","1.0304","1.0132","92.87K","-0.78%"
"20/10/2022","1.0218","1.0232","1.0252","1.0156","92.63K","-0.12%"
"19/10/2022","1.0230","1.0148","1.0250","1.0129","88.91K","0.84%"
"18/10/2022","1.0145","1.0165","1.0192","1.0125","98.98K","-0.16%"
"17/10/2022","1.0161","1.0282","1.0289","1.0149","88.28K","-1.21%"
"14/10/2022","1.0285","1.0230","1.0302","1.0195","108.60K","0.56%"
"13/10/2022","1.0228","1.0307","1.0382","1.0197","95.28K","-0.71%"
"12/10/2022","1.0301","1.0301","1.0344","1.0272","93.22K","-0.01%"
"11/10/2022","1.0302","1.0307","1.0339","1.0230","127.21K","-0.04%"
"10/10/2022","1.0306","1.0271","1.0329","1.0252","97.21K","0.43%"
"07/10/2022","1.0262","1.0215","1.0282","1.0186","78.52K","0.50%"
"06/10/2022","1.0211","1.0122","1.0217","1.0074","89.26K","0.93%"
"05/10/2022","1.0117","1.0014","1.0169","1.0005","88.68K","1.04%"
"04/10/2022","1.0013","1.0176","1.0199","0.9999","86.11K","-1.59%"
"03/10/2022","1.0175","1.0204","1.0253","1.0157","97.65K","-0.25%"
"30/09/2022","1.0201","1.0186","1.0273","1.0148","94.06K","0.16%"
"29/09/2022","1.0185","1.0272","1.0379","1.0187","96.26K","-0.83%"
"28/09/2022","1.0270","1.0423","1.0487","1.0254","104.44K","-1.45%"
"27/09/2022","1.0421","1.0406","1.0451","1.0339","104.22K","0.15%"
"26/09/2022","1.0405","1.0325","1.0453","1.0299","109.84K","0.86%"
"23/09/2022","1.0316","1.0165","1.0344","1.0150","90.98K","1.47%"
"22/09/2022","1.0167","1.0165","1.0195","1.0093","103.84K","0.03%"
"21/09/2022","1.0164","1.0028","1.0191","1.0022","87.44K","1.37%"
"20/09/2022","1.0027","0.9976","1.0045","0.9948","72.94K","0.52%"
"19/09/2022","0.9975","0.9988","1.0035","0.9970","63.17K","-0.06%"
"16/09/2022","0.9981","0.9999","1.0056","0.9963","72.83K","-0.15%"
"15/09/2022","0.9996","1.0021","1.0044","0.9981","69.08K","-0.20%"
"14/09/2022","1.0016","1.0028","1.0044","0.9976","87.67K","-0.12%"
"13/09/2022","1.0028","0.9880","1.0034","0.9815","77.65K","1.51%"
"12/09/2022","0.9879","0.9921","0.9941","0.9805","62.34K","-0.78%"
"09/09/2022","0.9957","1.0002","1.0005","0.9887","76.40K","-0.44%"
"08/09/2022","1.0001","0.9999","1.0070","0.9969","86.34K","0.05%"
