"Date","Price","Open","High","Low","Vol.","Change %"
"19/06/2023","34.766","34.690","34.810","34.650","","0.22%"
"18/06/2023","34.690","34.646","34.710","34.646","","0.06%"
"16/06/2023","34.670","34.610","34.720","34.580","","0.23%"
"15/06/2023","34.590","34.690","34.880","34.565","","-0.29%"
"14/06/2023","34.690","34.640","34.770","34.580","","0.06%"
"13/06/2023","34.670","34.640","34.715","34.450","","0.09%"
"12/06/2023","34.640","34.600","34.745","34.550","","0.14%"
"09/06/2023","34.590","34.630","34.675","34.550","","-0.09%"
"08/06/2023","34.620","34.820","34.920","34.620","","-0.60%"
"07/06/2023","34.830","34.790","34.870","34.675","","0.14%"
"06/06/2023","34.780","34.800","34.860","34.720","","0.00%"
"05/06/2023","34.780","34.770","34.910","34.750","","0.03%"
"02/06/2023","34.770","34.575","34.810","34.480","","0.55%"
"01/06/2023","34.580","34.720","34.900","34.555","","-0.17%"
"31/05/2023","34.640","34.705","34.825","34.605","","-0.20%"
"30/05/2023","34.710","34.720","34.895","34.595","","0.03%"
"29/05/2023","34.700","34.760","34.895","34.660","","-0.03%"
"26/05/2023","34.710","34.710","34.800","34.575","","0.12%"
"25/05/2023","34.670","34.650","34.760","34.560","","0.09%"
"24/05/2023","34.640","34.610","34.685","34.410","","0.12%"
"23/05/2023","34.600","34.470","34.745","34.415","","0.41%"
"22/05/2023","34.460","34.370","34.530","34.250","","0.53%"
"19/05/2023","34.280","34.415","34.520","34.295","","-0.41%"
"18/05/2023","34.420","34.270","34.480","34.100","","0.53%"
"17/05/2023","34.240","34.060","34.350","34.030","","0.41%"
"16/05/2023","34.100","33.790","34.140","33.720","","0.92%"
"15/05/2023","33.790","33.930","33.940","33.700","","-0.41%"
"12/05/2023","33.930","33.850","34.010","33.800","","0.33%"
"11/05/2023","33.820","33.650","33.870","33.560","","0.51%"
"10/05/2023","33.650","33.715","33.745","33.490","","-0.18%"
"09/05/2023","33.710","33.870","33.890","33.640","","-0.50%"
"08/05/2023","33.880","33.900","34.025","33.780","","0.00%"
"05/05/2023","33.880","33.790","33.935","33.650","","0.33%"
"04/05/2023","33.770","33.930","33.940","33.760","","-0.47%"
"03/05/2023","33.930","34.120","34.120","33.870","","-0.44%"
"02/05/2023","34.080","34.230","34.250","34.060","","-0.41%"
"01/05/2023","34.220","34.130","34.250","34.100","","0.29%"
"28/04/2023","34.120","34.150","34.210","34.045","","-0.06%"
"27/04/2023","34.140","34.150","34.220","34.045","","0.00%"
"26/04/2023","34.140","34.400","34.410","34.065","","-0.76%"
"25/04/2023","34.400","34.360","34.460","34.230","","0.17%"
"24/04/2023","34.340","34.390","34.520","34.340","","-0.03%"
"21/04/2023","34.350","34.330","34.470","34.290","","0.06%"
"20/04/2023","34.330","34.440","34.490","34.260","","-0.32%"
"19/04/2023","34.440","34.280","34.510","34.210","","0.47%"
"18/04/2023","34.280","34.500","34.505","34.230","","-0.61%"
"17/04/2023","34.490","34.290","34.510","34.260","","0.76%"
"14/04/2023","34.230","34.000","34.390","33.950","","0.80%"
"13/04/2023","33.960","34.125","34.190","33.975","","-0.50%"
"12/04/2023","34.130","34.280","34.295","34.100","","-0.38%"
"11/04/2023","34.260","34.380","34.405","34.195","","-0.29%"
"10/04/2023","34.360","34.160","34.410","34.160","","0.64%"
"07/04/2023","34.140","34.085","34.200","34.035","","0.15%"
"06/04/2023","34.090","33.940","34.185","33.925","","0.56%"
"05/04/2023","33.900","34.035","34.060","33.775","","-0.41%"
"04/04/2023","34.040","34.220","34.315","34.020","","-0.47%"
"03/04/2023","34.200","34.160","34.470","34.160","","0.12%"
"31/03/2023","34.160","34.130","34.220","34.005","","0.09%"
"30/03/2023","34.130","34.180","34.345","34.085","","-0.18%"
"29/03/2023","34.190","34.260","34.360","34.115","","-0.15%"
"28/03/2023","34.240","34.430","34.450","34.200","","-0.49%"
"27/03/2023","34.410","34.220","34.480","34.170","","0.73%"
"24/03/2023","34.160","33.990","34.295","33.980","","0.47%"
